VLK ,Metric
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_mspan_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_next_gc_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_other_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_stack_inuse_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_stack_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_threads
minio,{{ HOSTNAME }}.minio.gauge-minio_capacity_raw_free_total
minio,{{ HOSTNAME }}.minio.gauge-minio_capacity_raw_total
minio,{{ HOSTNAME }}.minio.gauge-minio_capacity_usable_free_total
minio,{{ HOSTNAME }}.minio.gauge-minio_capacity_usable_total
minio,{{ HOSTNAME }}.minio.gauge-minio_disks_offline
minio,{{ HOSTNAME }}.minio.gauge-minio_disks_total
minio,{{ HOSTNAME }}.minio.gauge-minio_nodes_offline
minio,{{ HOSTNAME }}.minio.gauge-minio_nodes_online
minio,{{ HOSTNAME }}.minio.gauge-minio_version_info_commit=a7acfa6158ea53c7a38f2034d85fbb8c8111e08a&version=2021-04-22T15:44:28Z
minio,{{ HOSTNAME }}.minio.gauge-process_max_fds
minio,{{ HOSTNAME }}.minio.gauge-process_open_fds
minio,{{ HOSTNAME }}.minio.gauge-process_resident_memory_bytes
minio,{{ HOSTNAME }}.minio.gauge-process_start_time_seconds
minio,{{ HOSTNAME }}.minio.gauge-process_virtual_memory_bytes
minio,{{ HOSTNAME }}.minio.gauge-process_virtual_memory_max_bytes
minio,{{ HOSTNAME }}.minio.gauge-promhttp_metric_handler_requests_in_flight
minio,{{ HOSTNAME }}.minio.gauge-s3_ttfb_seconds_api=listobjectsv2&sum
minio,{{ HOSTNAME }}.minio.gauge-s3_ttfb_seconds_api=putbucket&sum
mysql,{{ HOSTNAME }}.mysql-github.bytes-buffer_pool_size
mysql,{{ HOSTNAME }}.mysql-github.bytes-ibuf_size
mysql,{{ HOSTNAME }}.mysql-github.gauge-file_num_open_files
mysql,{{ HOSTNAME }}.mysql-github.gauge-innodb_activity_count
mysql,{{ HOSTNAME }}.mysql-github.gauge-trx_rseg_history_len
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_bytes-data
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_bytes-dirty
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-pages_flushed
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-read_ahead
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-read_ahead_evicted
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-read_ahead_rnd
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-read_requests
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-reads
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-wait_free
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_counters-write_requests
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_pages-data
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_pages-dirty
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_pages-free
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_pages-misc
mysql,{{ HOSTNAME }}.mysql-github.mysql_bpool_pages-total
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-admin_commands
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-alter_table
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-begin
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-call_procedure
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-change_db
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-commit
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-create_db
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-create_procedure
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-create_table
mysql,{{ HOSTNAME }}.mysql-github.mysql_commands-create_user
